,STATE,MONTH,IVM,CUMULATIVE_IVM,CFR,DEATHS,CASES_PER_1000,CASES,POPULATION,VAX,CUMULATIVE_VAX,IVM/CASE,DEATHS_PER_1000
167,LA RIOJA,2020-05-01,2.446,11.689,0.075,12,0.4821499064327837,160,331847,0.0,0.0,5073.1110125000005,3.616124298245878e-05
168,LA RIOJA,2020-06-01,1.726,13.415,0.1118012422360248,18,0.4851633433479887,161,331847,0.0,0.0,3557.5647329192548,5.4241864473688174e-05
169,LA RIOJA,2020-07-01,9.963,23.378,0.043103448275862,20,1.3982347286550731,464,331847,0.0,0.0,7125.4130625,6.026873830409797e-05
170,LA RIOJA,2020-08-01,96.247,119.625,0.059758423394787,94,4.740136267617306,1573,331847,0.0,0.0,20304.690533375713,0.00028326307002926045
171,LA RIOJA,2020-09-01,213.283,332.908,0.0406360424028268,138,10.233631764035836,3396,331847,0.0,0.0,20841.379181684333,0.000415854294298276
172,LA RIOJA,2020-10-01,91.391,424.299,0.0317511225144323,99,9.395896301608872,3118,331847,0.0,0.0,9726.69312924952,0.00029833025460528496
173,LA RIOJA,2020-11-01,74.199,498.498,0.0285714285714285,41,4.32428197331903,1435,331847,0.0,0.0,17158.686796515678,0.00012355091352340085
174,LA RIOJA,2020-12-01,36.902,535.4,0.0583190394511149,34,1.7568337215644558,583,331847,3.640231794,3.64023179,21004.833608919384,0.00010245685511696656
175,LA RIOJA,2021-01-01,75.566,610.966,0.027027027027027,23,2.5644348148393687,851,331847,11.51132902,15.1515608,29466.921741480615,6.930904904971267e-05
176,LA RIOJA,2021-02-01,72.976,683.942,0.0200601805416248,20,3.004396604459284,997,331847,25.40628663,40.5578474,24289.735879638916,6.026873830409797e-05
177,LA RIOJA,2021-03-01,44.167,728.109,0.0177339901477832,18,3.058638468932972,1015,331847,68.8479932,109.405841,14440.085171428573,5.4241864473688174e-05
178,LA RIOJA,2021-04-01,161.922,890.031,0.0218127115456938,58,8.012728757529825,2659,331847,118.6932532,228.099094,20208.097004136893,0.00017477934108188413
179,LA RIOJA,2021-05-01,196.702,1086.733,0.0206752159120649,79,11.514342452997916,3821,331847,121.9477651,350.046859,17083.21606752159,0.000238061516301187
180,MENDOZA,2020-03-01,4.341,4.341,0.16,4,0.0143545340231165,25,1741610,0.0,0.0,302413.16040000005,2.296725443698647e-06
181,MENDOZA,2020-04-01,14.719,19.06,0.0545454545454545,6,0.0631599497017127,110,1741610,0.0,0.0,233043.2508181818,3.44508816554797e-06
182,MENDOZA,2020-05-01,4.486,23.546,0.0555555555555555,3,0.0310057934899317,54,1741610,0.0,0.0,144682.63814814814,1.722544082773985e-06
183,MENDOZA,2020-06-01,5.707,29.253,0.0410958904109589,6,0.0838304786950006,146,1741610,0.0,0.0,68077.86486301369,3.44508816554797e-06
